Sexo;Ocupación;Tipo de sector;Periodo;Total
Ambos sexos;Total;Empleo público;2017T1;2.973,8
Ambos sexos;Total;Empleo público;2016T4;2.986,1
Ambos sexos;Total;Empleo público;2016T3;3.003,9
Ambos sexos;Total;Empleo público;2016T2;2.995
Ambos sexos;Total;Empleo público;2016T1;3.018,3
Ambos sexos;Total;Empleo público;2015T4;3.000,7
Ambos sexos;Total;Empleo público;2015T3;2.986,4
Ambos sexos;Total;Empleo público;2015T2;2.956,3
Ambos sexos;Total;Empleo público;2015T1;2.956,7
Ambos sexos;Total;Empleo público;2014T4;2.927,5
Ambos sexos;Total;Empleo público;2014T3;2.925,6
Ambos sexos;Total;Empleo público;2014T2;2.929,5
Ambos sexos;Total;Empleo público;2014T1;2.920,5
Ambos sexos;Total;Empleo público;2013T4;2.909,4
Ambos sexos;Total;Empleo público;2013T3;2.943,2
Ambos sexos;Total;Empleo público;2013T2;2.945
Ambos sexos;Total;Empleo público;2013T1;2.951,7
Ambos sexos;Total;Empleo público;2012T4;3.021,1
Ambos sexos;Total;Empleo público;2012T3;3.087,3
Ambos sexos;Total;Empleo público;2012T2;3.140,5
Ambos sexos;Total;Empleo público;2012T1;3.200,5
Ambos sexos;Total;Empleo público;2011T4;3.234,7
Ambos sexos;Total;Empleo público;2011T3;3.306,6
Ambos sexos;Total;Empleo público;2011T2;3.299,3
Ambos sexos;Total;Empleo público;2011T1;3.267,5
Ambos sexos;Total;Empleo privado;2024T3;18.282,2
Ambos sexos;Total;Empleo privado;2024T2;18.126,8
Ambos sexos;Total;Empleo privado;2024T1;17.699
Ambos sexos;Total;Empleo privado;2023T4;17.813,1
Ambos sexos;Total;Empleo privado;2023T3;17.930,3
Ambos sexos;Total;Empleo privado;2023T2;17.754,5
Ambos sexos;Total;Empleo privado;2023T1;17.139,2
Ambos sexos;Total;Empleo privado;2022T4;17.143,4
Ambos sexos;Total;Empleo privado;2022T3;17.257,7
Ambos sexos;Total;Empleo privado;2022T2;17.175,2
Ambos sexos;Total;Empleo privado;2022T1;16.746,5
Ambos sexos;Total;Empleo privado;2021T4;16.817,4
Ambos sexos;Total;Empleo privado;2021T3;16.644,4
Ambos sexos;Total;Empleo privado;2021T2;16.307,1
Ambos sexos;Total;Empleo privado;2021T1;15.870
Ambos sexos;Total;Empleo privado;2020T4;15.965,2
Ambos sexos;Total;Empleo privado;2020T3;15.839,8
Ambos sexos;Total;Empleo privado;2020T2;15.381,3
Ambos sexos;Total;Empleo privado;2020T1;16.433,3
Ambos sexos;Total;Empleo privado;2019T4;16.713,6
Ambos sexos;Total;Empleo privado;2019T3;16.645,7
Ambos sexos;Total;Empleo privado;2019T2;16.610,4
Ambos sexos;Total;Empleo privado;2019T1;16.257,5
Ambos sexos;Total;Empleo privado;2018T4;16.353,6
Ambos sexos;Total;Empleo privado;2018T3;16.360,4
Ambos sexos;Total;Empleo privado;2018T2;16.226,2
Ambos sexos;Total;Empleo privado;2018T1;15.768,4
Ambos sexos;Total;Empleo privado;2017T4;15.923,6
Ambos sexos;Total;Empleo privado;2017T3;15.987,2
Ambos sexos;Total;Empleo privado;2017T2;15.809,5
Ambos sexos;Total;Empleo privado;2017T1;15.464,4
Ambos sexos;Total;Empleo privado;2016T4;15.522
Ambos sexos;Total;Empleo privado;2016T3;15.523,6
Ambos sexos;Total;Empleo privado;2016T2;15.305,9
Ambos sexos;Total;Empleo privado;2016T1;15.011,3
Ambos sexos;Total;Empleo privado;2015T4;15.093,5
Ambos sexos;Total;Empleo privado;2015T3;15.062,3
Ambos sexos;Total;Empleo privado;2015T2;14.910,2
Ambos sexos;Total;Empleo privado;2015T1;14.498,1
Ambos sexos;Total;Empleo privado;2014T4;14.641,5
Ambos sexos;Total;Empleo privado;2014T3;14.578,4
Ambos sexos;Total;Empleo privado;2014T2;14.423,5
Ambos sexos;Total;Empleo privado;2014T1;14.030,1
Ambos sexos;Total;Empleo privado;2013T4;14.225,8
Ambos sexos;Total;Empleo privado;2013T3;14.286,8
Ambos sexos;Total;Empleo privado;2013T2;14.215,5
Ambos sexos;Total;Empleo privado;2013T1;14.078,5
Ambos sexos;Total;Empleo privado;2012T4;14.318,3
Ambos sexos;Total;Empleo privado;2012T3;14.580,4
Ambos sexos;Total;Empleo privado;2012T2;14.617,9
Ambos sexos;Total;Empleo privado;2012T1;14.564,6
Ambos sexos;Total;Empleo privado;2011T4;14.918,3
Ambos sexos;Total;Empleo privado;2011T3;15.177,8
Ambos sexos;Total;Empleo privado;2011T2;15.322,6
Ambos sexos;Total;Empleo privado;2011T1;15.158,6
Ambos sexos;1 Directores y gerentes;Total;2024T3;861
Ambos sexos;1 Directores y gerentes;Total;2024T2;861
Ambos sexos;1 Directores y gerentes;Total;2024T1;831,6
Ambos sexos;1 Directores y gerentes;Total;2023T4;857,6
Ambos sexos;1 Directores y gerentes;Total;2023T3;884,5
Ambos sexos;1 Directores y gerentes;Total;2023T2;870,6
Ambos sexos;1 Directores y gerentes;Total;2023T1;871,5
Ambos sexos;1 Directores y gerentes;Total;2022T4;875,6
Ambos sexos;1 Directores y gerentes;Total;2022T3;920
Ambos sexos;1 Directores y gerentes;Total;2022T2;905,5
Ambos sexos;1 Directores y gerentes;Total;2022T1;875,1
Ambos sexos;1 Directores y gerentes;Total;2021T4;844
Ambos sexos;1 Directores y gerentes;Total;2021T3;843
Ambos sexos;1 Directores y gerentes;Total;2021T2;812,6
Ambos sexos;1 Directores y gerentes;Total;2021T1;772,5
Ambos sexos;1 Directores y gerentes;Total;2020T4;760,7
Ambos sexos;1 Directores y gerentes;Total;2020T3;784,3
Ambos sexos;1 Directores y gerentes;Total;2020T2;753
Ambos sexos;1 Directores y gerentes;Total;2020T1;749,4
Ambos sexos;1 Directores y gerentes;Total;2019T4;768,8
Ambos sexos;1 Directores y gerentes;Total;2019T3;784,2
Ambos sexos;1 Directores y gerentes;Total;2019T2;784,3
Ambos sexos;1 Directores y gerentes;Total;2019T1;787,9
Ambos sexos;1 Directores y gerentes;Total;2018T4;807,1
Ambos sexos;1 Directores y gerentes;Total;2018T3;812,2
Ambos sexos;1 Directores y gerentes;Total;2018T2;799,9
Ambos sexos;1 Directores y gerentes;Total;2018T1;778,9
Ambos sexos;1 Directores y gerentes;Total;2017T4;760,1
Ambos sexos;1 Directores y gerentes;Total;2017T3;782,9
Ambos sexos;1 Directores y gerentes;Total;2017T2;789,9
Ambos sexos;1 Directores y gerentes;Total;2017T1;755,1
Ambos sexos;1 Directores y gerentes;Total;2016T4;753,8
Ambos sexos;1 Directores y gerentes;Total;2016T3;745,6
Ambos sexos;1 Directores y gerentes;Total;2016T2;744,6
Ambos sexos;1 Directores y gerentes;Total;2016T1;757
Ambos sexos;1 Directores y gerentes;Total;2015T4;764,4
Ambos sexos;1 Directores y gerentes;Total;2015T3;775,4
Ambos sexos;1 Directores y gerentes;Total;2015T2;783,4
Ambos sexos;1 Directores y gerentes;Total;2015T1;770,1
Ambos sexos;1 Directores y gerentes;Total;2014T4;779,4
Ambos sexos;1 Directores y gerentes;Total;2014T3;782,2
Ambos sexos;1 Directores y gerentes;Total;2014T2;770,1
Ambos sexos;1 Directores y gerentes;Total;2014T1;780,5
Ambos sexos;1 Directores y gerentes;Total;2013T4;780,5
Ambos sexos;1 Directores y gerentes;Total;2013T3;796,8
Ambos sexos;1 Directores y gerentes;Total;2013T2;804,8
Ambos sexos;1 Directores y gerentes;Total;2013T1;827
Ambos sexos;1 Directores y gerentes;Total;2012T4;841,9
Ambos sexos;1 Directores y gerentes;Total;2012T3;860
Ambos sexos;1 Directores y gerentes;Total;2012T2;881,9
Ambos sexos;1 Directores y gerentes;Total;2012T1;873,9
Ambos sexos;1 Directores y gerentes;Total;2011T4;917,2
Ambos sexos;1 Directores y gerentes;Total;2011T3;904,6
Ambos sexos;1 Directores y gerentes;Total;2011T2;932,7
Ambos sexos;1 Directores y gerentes;Total;2011T1;902,6
Ambos sexos;1 Directores y gerentes;Empleo público;2024T3;56,3
Ambos sexos;1 Directores y gerentes;Empleo público;2024T2;55,6
Ambos sexos;1 Directores y gerentes;Empleo público;2024T1;53,8
Ambos sexos;1 Directores y gerentes;Empleo público;2023T4;58,2
Ambos sexos;1 Directores y gerentes;Empleo público;2023T3;55,6
Ambos sexos;1 Directores y gerentes;Empleo público;2023T2;55
Ambos sexos;1 Directores y gerentes;Empleo público;2023T1;54,9
Ambos sexos;1 Directores y gerentes;Empleo público;2022T4;63,3
Ambos sexos;1 Directores y gerentes;Empleo público;2022T3;59,9
Ambos sexos;1 Directores y gerentes;Empleo público;2022T2;54,5
Ambos sexos;1 Directores y gerentes;Empleo público;2022T1;54,4
Ambos sexos;1 Directores y gerentes;Empleo público;2021T4;54,7
Ambos sexos;1 Directores y gerentes;Empleo público;2021T3;52,7
Ambos sexos;1 Directores y gerentes;Empleo público;2021T2;54,1
Ambos sexos;1 Directores y gerentes;Empleo público;2021T1;55,6
Ambos sexos;1 Directores y gerentes;Empleo público;2020T4;55
Ambos sexos;1 Directores y gerentes;Empleo público;2020T3;60
Ambos sexos;1 Directores y gerentes;Empleo público;2020T2;58,1
Ambos sexos;1 Directores y gerentes;Empleo público;2020T1;58,1
Ambos sexos;1 Directores y gerentes;Empleo público;2019T4;52
Ambos sexos;1 Directores y gerentes;Empleo público;2019T3;51,7
Ambos sexos;1 Directores y gerentes;Empleo público;2019T2;56,7
Ambos sexos;1 Directores y gerentes;Empleo público;2019T1;55,8
Ambos sexos;1 Directores y gerentes;Empleo público;2018T4;61,3
Ambos sexos;1 Directores y gerentes;Empleo público;2018T3;59,2
Ambos sexos;1 Directores y gerentes;Empleo público;2018T2;55,8
Ambos sexos;1 Directores y gerentes;Empleo público;2018T1;55,5
Ambos sexos;1 Directores y gerentes;Empleo público;2017T4;55,8
Ambos sexos;1 Directores y gerentes;Empleo público;2017T3;58,3
Ambos sexos;1 Directores y gerentes;Empleo público;2017T2;55,1
Ambos sexos;1 Directores y gerentes;Empleo público;2017T1;53,3
Ambos sexos;1 Directores y gerentes;Empleo público;2016T4;52
Ambos sexos;1 Directores y gerentes;Empleo público;2016T3;50,6
Ambos sexos;1 Directores y gerentes;Empleo público;2016T2;46,7
Ambos sexos;1 Directores y gerentes;Empleo público;2016T1;46,7
Ambos sexos;1 Directores y gerentes;Empleo público;2015T4;53,2
Ambos sexos;1 Directores y gerentes;Empleo público;2015T3;51,8
Ambos sexos;1 Directores y gerentes;Empleo público;2015T2;53,3
Ambos sexos;1 Directores y gerentes;Empleo público;2015T1;57,3
Ambos sexos;1 Directores y gerentes;Empleo público;2014T4;54,8
Ambos sexos;1 Directores y gerentes;Empleo público;2014T3;51,1
Ambos sexos;1 Directores y gerentes;Empleo público;2014T2;48,6
Ambos sexos;1 Directores y gerentes;Empleo público;2014T1;52,8
Ambos sexos;1 Directores y gerentes;Empleo público;2013T4;53
Ambos sexos;1 Directores y gerentes;Empleo público;2013T3;55,3
Ambos sexos;1 Directores y gerentes;Empleo público;2013T2;57
Ambos sexos;1 Directores y gerentes;Empleo público;2013T1;59
Ambos sexos;1 Directores y gerentes;Empleo público;2012T4;62,2
Ambos sexos;1 Directores y gerentes;Empleo público;2012T3;61,9
Ambos sexos;1 Directores y gerentes;Empleo público;2012T2;74,6
Ambos sexos;1 Directores y gerentes;Empleo público;2012T1;73,1
Ambos sexos;1 Directores y gerentes;Empleo público;2011T4;79,4
Ambos sexos;1 Directores y gerentes;Empleo público;2011T3;70,9
Ambos sexos;1 Directores y gerentes;Empleo público;2011T2;75,5
Ambos sexos;1 Directores y gerentes;Empleo público;2011T1;73,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2024T3;804,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2024T2;805,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2024T1;777,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2023T4;799,4
Ambos sexos;1 Directores y gerentes;Empleo privado;2023T3;828,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2023T2;815,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2023T1;816,6
Ambos sexos;1 Directores y gerentes;Empleo privado;2022T4;812,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2022T3;860,1
Ambos sexos;1 Directores y gerentes;Empleo privado;2022T2;851
Ambos sexos;1 Directores y gerentes;Empleo privado;2022T1;820,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2021T4;789,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2021T3;790,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2021T2;758,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2021T1;716,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2020T4;705,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2020T3;724,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2020T2;694,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2020T1;691,2
Ambos sexos;1 Directores y gerentes;Empleo privado;2019T4;716,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2019T3;732,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2019T2;727,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2019T1;732
Ambos sexos;1 Directores y gerentes;Empleo privado;2018T4;745,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2018T3;753
Ambos sexos;1 Directores y gerentes;Empleo privado;2018T2;744,1
Ambos sexos;1 Directores y gerentes;Empleo privado;2018T1;723,4
Ambos sexos;1 Directores y gerentes;Empleo privado;2017T4;704,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2017T3;724,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2017T2;734,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2017T1;701,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2016T4;701,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2016T3;694,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2016T2;697,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2016T1;710,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2015T4;711,2
Ambos sexos;1 Directores y gerentes;Empleo privado;2015T3;723,6
Ambos sexos;1 Directores y gerentes;Empleo privado;2015T2;730,1
Ambos sexos;1 Directores y gerentes;Empleo privado;2015T1;712,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2014T4;724,6
Ambos sexos;1 Directores y gerentes;Empleo privado;2014T3;731
Ambos sexos;1 Directores y gerentes;Empleo privado;2014T2;721,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2014T1;727,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2013T4;727,6
Ambos sexos;1 Directores y gerentes;Empleo privado;2013T3;741,5
Ambos sexos;1 Directores y gerentes;Empleo privado;2013T2;747,9
Ambos sexos;1 Directores y gerentes;Empleo privado;2013T1;768
Ambos sexos;1 Directores y gerentes;Empleo privado;2012T4;779,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2012T3;798,1
Ambos sexos;1 Directores y gerentes;Empleo privado;2012T2;807,3
Ambos sexos;1 Directores y gerentes;Empleo privado;2012T1;800,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2011T4;837,8
Ambos sexos;1 Directores y gerentes;Empleo privado;2011T3;833,7
Ambos sexos;1 Directores y gerentes;Empleo privado;2011T2;857,2
Ambos sexos;1 Directores y gerentes;Empleo privado;2011T1;829,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2024T3;4.245,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2024T2;4.360,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2024T1;4.301,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2023T4;4.266,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2023T3;4.078,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2023T2;4.163,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2023T1;4.007,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2022T4;3.895
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2022T3;3.922,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2022T2;3.972,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2022T1;3.915,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2021T4;3.959,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2021T3;3.774,4
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2021T2;3.832,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2021T1;3.760,4
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2020T4;3.744,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2020T3;3.643,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2020T2;3.670,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2020T1;3.756,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2019T4;3.737,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2019T3;3.621,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2019T2;3.670,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2019T1;3.632,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2018T4;3.585,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2018T3;3.441,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2018T2;3.423,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2018T1;3.378,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2017T4;3.394,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2017T3;3.350,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2017T2;3.371,4
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2017T1;3.323,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2016T4;3.321,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2016T3;3.250,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2016T2;3.297,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2016T1;3.252,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2015T4;3.206,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2015T3;3.095,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2015T2;3.111,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2015T1;3.048,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2014T4;3.100,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2014T3;2.976,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2014T2;3.038,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2014T1;3.026
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2013T4;3.036,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2013T3;3.004
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2013T2;3.047,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2013T1;3.007,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2012T4;3.014,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2012T3;2.961
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2012T2;3.041,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2012T1;3.007,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2011T4;2.990
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2011T3;2.935,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2011T2;3.021,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Total;2011T1;3.038,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2024T3;1.613,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2024T2;1.709,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2024T1;1.695,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2023T4;1.658,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2023T3;1.583,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2023T2;1.631,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2023T1;1.624,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2022T4;1.584,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2022T3;1.580,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2022T2;1.570
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2022T1;1.584,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2021T4;1.586,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2021T3;1.553,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2021T2;1.592,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2021T1;1.542
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2020T4;1.534,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2020T3;1.479,7
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2020T2;1.495,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2020T1;1.483,9
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2019T4;1.480
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2019T3;1.449,6
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2019T2;1.468,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2019T1;1.464
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2018T4;1.443,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2018T3;1.370,8
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2018T2;1.378,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2018T1;1.380,1
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2017T4;1.360,5
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2017T3;1.343,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2017T2;1.336,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2017T1;1.331
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2016T4;1.326,2
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2016T3;1.302,3
Ambos sexos;2 Técnicos y profesionales científicos e intelectuales;Empleo público;2016T2;1.344,7
